req_id,area,verification,test_ids
REQ-CIPH-010,CIPH,T,TST-CIPH-010
REQ-CIPH-012,CIPH,T,TST-CIPH-012
REQ-CIPH-013,CIPH,T,TST-CIPH-010
REQ-CIPH-011,CIPH,T,TST-CIPH-011
REQ-CIPH-014,CIPH,T,TST-CIPH-014
REQ-KGR-001,KGR,T,TST-KGR-001
REQ-KGR-002,KGR,T,TST-KGR-002
REQ-KGR-003,KGR,T,TST-KGR-003
REQ-KGR-010,KGR,T,TST-KGR-010
REQ-KGR-011,KGR,T,TST-KGR-011
REQ-KGR-012,KGR,T,TST-KGR-012
REQ-OVL-001,OVL,T,TST-OVL-001
REQ-OVL-002,OVL,T,TST-OVL-002
REQ-OVL-020,OVL,T,TST-OVL-030
REQ-OVL-021a,OVL,T,TST-OVL-021a
REQ-OVL-022,OVL,A,artifact-overlay-obfuscation-doc
REQ-OVL-030,OVL,T,TST-OVL-030
REQ-OVL-031,OVL,T,TST-OVL-030
REQ-OVL-050,OVL,T,TST-OVL-050
REQ-OVL-051,OVL,T,TST-OVL-051
REQ-OVL-052,OVL,T,TST-OVL-052
REQ-OVL-061,OVL,T,TST-OVL-061
REQ-OVL-010,OVL,T,TST-OVL-010
REQ-OVL-011,OVL,T,TST-OVL-011
REQ-OVL-021b,OVL,T,TST-OVL-021b
REQ-OVL-021c,OVL,T,TST-OVL-021c
REQ-OVL-053,OVL,T,TST-OVL-053
REQ-OVL-054,OVL,T,TST-OVL-054
REQ-OVL-060,OVL,T,TST-OVL-060
REQ-BCS-001,BCS,T,TST-BCS-001
REQ-BCS-002,BCS,T,TST-BCS-001
REQ-BCS-003,BCS,T,TST-BCS-003
REQ-BCS-004,BCS,T,TST-BCS-004
REQ-BCS-010,BCS,T,TST-BCS-010
REQ-BCS-011,BCS,T,TST-BCS-011
REQ-BCS-012,BCS,T,TST-BCS-012
REQ-BCS-013,BCS,T,TST-BCS-013
REQ-BCS-020,BCS,T,TST-BCS-013
REQ-BCS-021,BCS,T,TST-BCS-013
REQ-SES-001,SES,T,TST-SES-001
REQ-SES-002,SES,T,TST-SES-002
REQ-SES-003,SES,T,TST-SES-003
REQ-SES-010,SES,T,TST-SES-010
REQ-CUS-001,CUS,T,TST-CUS-001
REQ-CUS-002,CUS,A,artifact-architecture-md-threshold
REQ-CUS-003,CUS,T,TST-CUS-003
REQ-CUS-004,CUS,T,TST-CUS-004
REQ-CUS-005,CUS,T,TST-CUS-005
REQ-CUS-006,CUS,T,TST-CUS-006
REQ-CUS-007,CUS,T,TST-CUS-007-IGNORED-needs-keystore-section12
REQ-CUS-010,CUS,T,TST-CUS-010
REQ-KST-001,KST,T,TST-KST-001
REQ-KST-010,KST,T,TST-KST-010-IGNORED-needs-pkcs11-hsm
REQ-KST-011,KST,T,TST-KST-011-IGNORED-needs-cloud-kms
REQ-KST-012,KST,T,TST-KST-012
REQ-KST-020,KST,T,TST-KST-020
REQ-KST-030,KST,T,TST-KST-030
REQ-OBS-001,OBS,T,TST-OBS-001
REQ-OBS-002,OBS,T,TST-OBS-002
REQ-OBS-003,OBS,T,TST-OBS-003
REQ-OBS-004,OBS,T,TST-OBS-004
REQ-API-001,API,T,TST-API-001
REQ-API-002,API,T,TST-API-002
REQ-API-003,API,T,TST-API-003
REQ-API-004,API,T,TST-API-004
REQ-API-005,API,T,TST-API-005
REQ-API-006,API,T,TST-API-006
REQ-API-007,API,T,TST-API-007
REQ-RES-001,RES,T,TST-RES-001
REQ-RES-002,RES,T,TST-RES-002
REQ-RES-003,RES,T,TST-RES-003
REQ-RES-004,RES,T,TST-RES-004
REQ-RES-005,RES,T,TST-RES-005
REQ-CLI-001,CLI,T,TST-CLI-001
REQ-CLI-002,CLI,T,TST-CLI-002
REQ-CLI-003,CLI,T,TST-CLI-003
REQ-FUZ-001,FUZ,T,TST-FUZ-001
REQ-FUZ-002,FUZ,T,TST-FUZ-002
REQ-FUZ-003,FUZ,T,TST-FUZ-003
REQ-FUZ-004,FUZ,T,TST-FUZ-004
REQ-FUZ-005,FUZ,T,TST-FUZ-005
REQ-FUZ-006,FUZ,T,TST-FUZ-006
REQ-CON-001,CON,T,TST-CON-001-ci-docker-image
REQ-CON-002,CON,T,TST-CON-002-ci-docker-image
REQ-CON-010,CON,D,artifact-compose-offline-node
REQ-CON-011,CON,D,artifact-compose-test-profile
REQ-CON-020,CON,T,TST-CON-020
REQ-CON-021,CON,T,gate-deny-audit-ci
REQ-CMP-001,CMP,T,TST-CMP-001
REQ-CMP-002,CMP,T,TST-CMP-002
REQ-CMP-003,CMP,T,TST-CMP-003
REQ-CMP-004,CMP,T,TST-CMP-004
REQ-CMP-005,CMP,I,artifact-slos-md
REQ-BENCH-001,BENCH,T,TST-BENCH-001
REQ-BENCH-002,BENCH,T,TST-BENCH-002
REQ-BENCH-003,BENCH,I,artifact-bench-measured-only
REQ-TST-040,TST,T,TST-TST-040
REQ-TST-001,TST,T,gate-cargo-test-all
REQ-TST-002,TST,T,TST-TST-002
REQ-TST-010,TST,T,gate-coverage-ci
REQ-TST-011,TST,T,gate-mutation-ci
REQ-TST-012,TST,T,TST-TST-012
REQ-TST-050,TST,I,artifact-ignore-naming-discipline
REQ-DOC-001,DOC,I,artifact-readme-md
REQ-DOC-002,DOC,I,artifact-architecture-md
REQ-DOC-003,DOC,I,artifact-security-md
REQ-DOC-004,DOC,I,artifact-ops-repro-compliance-runbooks
REQ-DOC-005,DOC,T,gate-cargo-doc-clean
REQ-DOC-006,DOC,I,artifact-ckd-spec-security-md
